Tipo de fiscalizador,Ubicación,Conducta fiscalizada,Latitud,Longitud,COMUNA
Cinemómetro,Av. Elcano 4510,Exceso de velocidad,-34.588939,-58.464781,15
Analítica de video,Bernardo de Yrigoyen 1026,semáforo rojo,-34.620115,-58.3801422,1
Analítica de video,AV.Paseo Colon 753,"semáforo rojo, senda peatonal",-34.6167193,-58.3694479,1
Analítica de video,Lima 281,"semáforo rojo, senda peatonal",-34.6116696,-58.3819691,1
Analítica de video,Av. Independencia 1784,"semáforo rojo, senda peatonal",-34.6183201,-58.3913006,1
Analítica de video,Av. San Juan 1119,"semáforo rojo, senda peatonal",-34.6219603,-58.3818964,1
Analítica de video,Av. Leandro N. Alem 518,"semáforo rojo, senda peatonal",-34.6016026,-58.3706653,1
Analítica de video,Lima Oeste 1524,semáforo rojo,-34.6261863,-58.3821062,1
Analítica de video,Dr. Jose Maria Ramos Mejia 1304,"semáforo rojo, senda peatonal",-34.5923398,-58.3751466,1
Analítica de video,Av. Belgrano 324,"semáforo rojo, senda peatonal",-34.6125804,-58.3708745,1
Analítica de video,AV.Paseo Colón 400,"semáforo rojo, senda peatonal",-34.6128447,-58.3688407,1
Analítica de video,Av. Entre Rí­os 1818,"semáforo rojo, senda peatonal",-34.6295987,-58.3907567,1
Analítica de video,Av. Juan de Garay 1769,"semáforo rojo, senda peatonal",-34.6272455,-58.3902949,1
Analítica de video,Gorriti 5300,Invasión de ciclovia,-34.6201095,-58.3799732,1
Analítica de video,C.CALVO 2195,Invasión de ciclovia,-34.6167221,-58.3695746,1
Cinemómetro,Au. 25 de mayo km 8.4,Exceso de velocidad,-34.62278,-58.379774,1
Cinemómetro,Au. Arturo Humberto Illia km 1.2,Exceso de velocidad,-34.582714,-58.381579,1
Cinemómetro,Au. 25 de mayo km 8.4,Exceso de velocidad,-34.62278,-58.379774,1
Cinemómetro,Au. Arturo Humberto Illia km 1.2,Exceso de velocidad,-34.582546,-58.381472,1
Cinemómetro,Au. 25 de mayo km 8.4,Exceso de velocidad,-34.622886,-58.379715,1
Cinemómetro,Au. Arturo Frondizi km 2.6,Exceso de velocidad,-34.627679,-58.379081,1
Cinemómetro,Av. San Juan 730,Exceso de velocidad,-34.622106,-58.376237,1
Cinemómetro,Av. Independencia 1668,Exceso de velocidad,-34.618124,-58.389834,1
Cinemómetro,Av. De Mayo 930,Exceso de velocidad,-34.608993,-58.379718,1
Analítica de video,Av. Rivadavia 10524,"semáforo rojo, senda peatonal, Giro indebido",-34.6393519,-58.511761,9
Analítica de video,AV. Lisandro de la Torre 663,"semáforo rojo, senda peatonal",-34.6460407,-58.5205847,9
Analítica de video,Superí­ 1803,Invasión de ciclovia,-34.6394678,-58.511763,9
Analítica de video,Av. Callao 858,Uso de cinturón,-34.6460407,-58.5205847,9
Cinemómetro,Av. Emilio Castro 6281,Exceso de velocidad,-34.649256,-58.509924,9
Cinemómetro,Av. Bruix 4495,Exceso de velocidad,-34.646741,-58.487918,9
Cinemómetro,Av. Directorio 4155,Exceso de velocidad,-34.642733,-58.481786,9
Cinemómetro,Au. Perito Moreno km 4.5,Exceso de velocidad,-34.645308,-58.486354,9
Cinemómetro,Au. Perito Moreno km 4.5,Exceso de velocidad,-34.645308,-58.486354,9
Cinemómetro,Av. Rivadavia 10741,Exceso de velocidad,-34.639139,-58.515007,9
Cinemómetro,Av. Juan B. Justo 8736,Exceso de velocidad,-34.634205,-58.512419,9
Cinemómetro,Au. Perito Moreno km 4.8,Exceso de velocidad,-34.646162,-58.484752,9
Cinemómetro,Au. Perito Moreno km 4.8,Exceso de velocidad,-34.646162,-58.484752,9
Cinemómetro,Au. Perito Moreno km 0.3,Exceso de velocidad,-34.6349,-58.527448,9
Cinemómetro,Au. Au1 - Au6 Ramal de transición km 0.1,Exceso de velocidad,-34.647662,-58.464551,9
Cinemómetro,Au. General Paz km 17.5,Exceso de velocidad,-34.664765,-58.514672,9
Analítica de video,Av. Avellaneda 1825,"semáforo rojo, senda peatonal, Vía transversal",-34.6212716,-58.4563876,7
Analítica de video,Av. Avellaneda 2924,"semáforo rojo, senda peatonal",-34.626596,-58.47185,7
Analítica de video,Av. Rivadavia 7420,"semáforo rojo, senda peatonal, Giro indebido",-34.6309456,-58.4700198,7
Analítica de video,Av. Rivadavia 6626,"semáforo rojo, senda peatonal, Giro indebido",-34.627858,-58.459097,7
Analítica de video,33 ORIENTALES 903,Invasión de ciclovia,-34.6211717,-58.4564399,7
Analítica de video,Av. Pueyrredón 214,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.627858,-58.459097,7
Analítica de video,Av. Nazca 479,"semáforo rojo, senda peatonal, Doble fila, Uso de cinturón, uso de celular",-34.6267026,-58.4712749,7
Cinemómetro,Av. Jose María Moreno 1657,Exceso de velocidad,-34.637517,-58.43205,7
Cinemómetro,Av. Eva Perón 1825,Exceso de velocidad,-34.635796,-58.448878,7
Cinemómetro,Av. San Pedrito 418,Exceso de velocidad,-34.635933,-58.467221,7
Cinemómetro,Av. Directorio 3078,Exceso de velocidad,-34.636173,-58.469959,7
Cinemómetro,Au. 25 de mayo km 4.1,Exceso de velocidad,-34.628748,-58.42634,7
Cinemómetro,Au. 25 de mayo km 4.1,Exceso de velocidad,-34.628748,-58.42634,7
Analítica de video,Av Mosconi 3000,"semáforo rojo, senda peatonal, Vía transversal",-34.5870146,-58.50341,12
Analítica de video,Av. Cabildo 4718,"semáforo rojo, senda peatonal, Giro indebido",-34.5413779,-58.4741464,12
Analítica de video,Vedia 3438,"semáforo rojo, senda peatonal",-34.5441959,-58.4860639,12
Analítica de video,Gral. Cesar Díaz 2898,Invasión de ciclovia,-34.5871007,-58.5033248,12
Analítica de video,Av. Triunvirato 4520,"semáforo rojo, senda peatonal, Uso de cinturón, uso de celular",-34.5754872,-58.4848347,12
Cinemómetro,Calle Galván 3640,Exceso de velocidad,-34.560784,-58.492214,12
Cinemómetro,Av. Gral. Mosconi 3043,Exceso de velocidad,-34.587261,-58.503966,12
Cinemómetro,Av. Triunvirato 6300,Exceso de velocidad,-34.560037,-58.49607,12
Cinemómetro,Calle Crisologo Larralde 6037,Exceso de velocidad,-34.567206,-58.504409,12
Cinemómetro,Calle Crisologo Larralde 5295,Exceso de velocidad,-34.562812,-58.495362,12
Cinemómetro,Av. Donado 3660,Exceso de velocidad,-34.557964,-58.486566,12
Cinemómetro,Av. De los Constituyentes 5880,Exceso de velocidad,-34.573042,-58.503825,12
Cinemómetro,Av. Ricardo Balbin 4640,Exceso de velocidad,-34.554033,-58.49738,12
Cinemómetro,Av. Cabildo 4740,Exceso de velocidad,-34.541081,-58.474297,12
Cinemómetro,Au. General Paz km 4.3,Exceso de velocidad,-34.553849,-58.501957,12
Cinemómetro,Au. General Paz km 4.3,Exceso de velocidad,-34.553849,-58.501957,12
Cinemómetro,Au. General Paz km 4.3,Exceso de velocidad,-34.553849,-58.501957,12
